image-ID,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,chisq,particle-ID,vis-probe
123,1,1,23,2,1387.78,1,1,0,0,1,1,1,1,5746.86,36476.1,11032.8,1,1,1,1,0,0.134218,-1,0
126,1,1,26,2,1342.74,1,1,0,0,1,1,1,1,5743.23,36480.5,10983,1,1,1,1,0,0.13645,-1,0
129,1,1,29,2,1061.09,1,1,0,0,1,1,1,1,7310.77,39906.9,11709.1,1,1,1,1,0,0.153495,-1,0
130,1,1,30,2,1555.49,1,1,0,0,1,1,1,1,8436.91,35728,10612.3,1,1,1,1,0,0.126776,-1,0
130,1,1,30,2,1197.84,1,1,0,0,1,1,1,1,7334.78,39906.4,11662.7,1,1,1,1,0,0.144468,-1,0
131,1,1,31,2,1011.51,1,1,0,0,1,1,1,1,7331.05,39897.8,11761.6,1,1,1,1,0,0.157211,-1,0
132,1,1,32,2,898.935,1,1,0,0,1,1,1,1,7320.74,39903.1,11711.9,1,1,1,1,0,0.166765,-1,0
138,1,1,38,2,1116.57,1,1,0,0,1,1,1,1,4401.05,36227.9,10817.3,1,1,1,1,0,0.149633,-1,0
140,1,1,40,2,1335.38,1,1,0,0,1,1,1,1,9322.75,38954.7,11404.3,1,1,1,1,0,0.136826,-1,0
142,1,1,42,2,1314.23,1,1,0,0,1,1,1,1,7000.63,36641.9,11212.1,1,1,1,1,0,0.137922,-1,0
143,1,1,43,2,1287.46,1,1,0,0,1,1,1,1,9308.07,38945.7,11398.5,1,1,1,1,0,0.139349,-1,0
143,1,1,43,2,1259.4,1,1,0,0,1,1,1,1,6993.42,36623.2,11319.8,1,1,1,1,0,0.140893,-1,0
145,1,1,45,2,1230.68,1,1,0,0,1,1,1,1,6974.9,36618.7,11246.8,1,1,1,1,0,0.142527,-1,0
146,1,1,46,2,1624.52,1,1,0,0,1,1,1,1,7004.03,36620.4,11271.2,1,1,1,1,0,0.124053,-1,0
147,1,1,47,2,1443.28,1,1,0,0,1,1,1,1,5673.27,35948.8,10900.6,1,1,1,1,0,0.131612,-1,0
148,1,1,48,2,1160.9,1,1,0,0,1,1,1,1,5676.51,35958.2,10852.3,1,1,1,1,0,0.146748,-1,0
149,1,1,49,2,1252.68,1,1,0,0,1,1,1,1,5686.58,35961.9,10830.7,1,1,1,1,0,0.14127,-1,0
150,1,1,50,3,1452.26,1,1,0,0,1,1,1,1,8929.38,39704.6,11620.3,1,1,1,1,0,0.131204,-1,0
151,1,1,51,2,1254.41,1,1,0,0,1,1,1,1,8921.23,39695.9,11618.7,1,1,1,1,0,0.141173,-1,0
151,1,1,51,2,1012.73,1,1,0,0,1,1,1,1,5486.95,36781.2,11011.9,1,1,1,1,0,0.157117,-1,0
152,1,1,52,3,1465.63,1,1,0,0,1,1,1,1,8929.25,39703.2,11618.3,1,1,1,1,0,0.130605,-1,0
152,1,1,52,2,1043.62,1,1,0,0,1,1,1,1,5485.4,36771.6,11043.9,1,1,1,1,0,0.154774,-1,0
154,1,1,54,2,1699.14,1,1,0,0,1,1,1,1,7253.08,34907.7,10399.3,1,1,1,1,0,0.121299,-1,0
